Sega,Episode Titles,Episode air date,HH,Rank,Viewership 
Babidi and Majin Buu,"""The Man Behind the Curtains Appears!! The Evil Madoshi Babidi"" / ""The Wizard's Curse""",October 15 2001,"2,277,000",13,"3,189,000"
Babidi and Majin Buu,"""The Awaiting Trap!! A Challenge from the Demon Realm"" / ""King of the Demons",October 16 2001,"2,426,000",7,"3,100,000"
Babidi and Majin Buu,"""Don't Toy With Me!! Vegeta's Breakthrough First Strike of Fury"" / ""Vegeta Attacks""",October 17 2001,"2,239,000",17,N/A
Babidi and Majin Buu,"""Goku's Power Wide Open!! Blow Away Yakon"" / ""Next Up, Goku""",October 18 2001,"2,353,000",10,"2,855,000"
Babidi and Majin Buu,"""A Great Miscalculation!! Satan vs. Three Super-Warriors!?"" / ""Battle Supreme""",October 22 2001,N/A,N/A,N/A
Babidi and Majin Buu,"""Such Strong Kids!! No. 18's Close Fight!?"" / ""Eighteen Unmasks""",October 23 2001,"2,268,000",14,"2,706,000"
Babidi and Majin Buu,"""Confrontation with the Demon King! It's Your Turn, Gohan!!"" / ""Pay to Win""",October 24 2001,"2,334,000",11,"3,118,000"
Babidi and Majin Buu,"""A Wicked Heart Discovered!! Dabura's Great Idea"" / ""Heart of a Villain""",October 25 2001,N/A,N/A,N/A
Babidi and Majin Buu,"""Vegeta, Prince of Destruction, Revived!! Intrusion at the Tournament"" / ""The Dark Prince Returns""",October 29 2001,"2,217,000",13,"3,389,000"
Babidi and Majin Buu,"""The Super-confrontation of Destiny!! The Clash of Goku vs. Vegeta"" / ""Vegeta's Pride""",October 30 2001,N/A,N/A,N/A
Babidi and Majin Buu,"""Just You Wait, Babidi!! Your Aspirations Will Not Be Allowed"" / ""The Long Awaited Fight""",October 31 2001,"2,114,000",19,N/A
Babidi and Majin Buu,"""The Seal is Broken! Out Comes the Vicious Majin Boo!!"" / ""Magic Ball of Buu""",November 1 2001,"2,504,000",8,"3,649,000"
Babidi and Majin Buu,"""I Won't Allow the Revival!! A Kamehame-Ha of Resistance"" / ""Buu is Hatched!""",November 5 2001,N/A,N/A,N/A
Babidi and Majin Buu,"""A Straight Line to Despair!? The Grief of Kaioshin"" / ""The Losses Begin""",November 6 2001,"2,389,000",14,"3,510,000"
Babidi and Majin Buu,"""The Terrifying Majin!! Death's Dread Draws Near Gohan"" / ""The Terror of Majin Buu",November 7 2001,"2,181,000",21,"3,349,000"
Babidi and Majin Buu,"""'Gonna Eat'cha!!' The Hungry Majin's Supernatural Powers"" / ""Meal Time""",November 8 2001,"2,306,000",20,"3,283,000"
Babidi and Majin Buu,"""A Warrior's Resolution!! I Will Dispose of the Majin"" / ""The Warrior's Decision""",November 12 2001,N/A,N/A,N/A
Babidi and Majin Buu,"""For Those Whom He Loves... Vegeta Perishes!!"" / ""Final Atonement""",November 13 2001,"2,370,000",20,N/A
Babidi and Majin Buu,"""The Nightmare Revisited!! Majin Boo Has Survived"" / ""Evil Lives On""",September 16 2002,"2,260,000",37,N/A
Babidi and Majin Buu,"""The Struggle of Videl and the Others! Find the Dragon Balls"" / ""Find the Dragon Balls",September 17 2002,"2,443,000",26,N/A
Babidi and Majin Buu,"""Enormous Hope!! A New Finishing Technique for the Little Squirts"" / ""Revival",September 18 2002,"2,547,000",23,N/A
Babidi and Majin Buu,"""Goten and Trunks — The World's Most Wanted"" / ""Global Announcement""",September 19 2002,"2,383,000",31,N/A
Babidi and Majin Buu,"""Gohan Revived — Kaioshin's Secret Weapon!?"" / ""Learn to Fuse",September 23 2002,"2,171,000",35,N/A
Babidi and Majin Buu,"""It Came Ou~t!! The Legendary Z-Sword"" / ""The Z Sword""",September 24 2002,N/A,N/A,N/A
Babidi and Majin Buu,"""Metro West is Targeted! Stop, Majin Boo!!"" / ""Race to Capsule Corp.""",September 25 2002,N/A,N/A,N/A
Babidi and Majin Buu,"""An Astounding Great Transformation!! Super Saiyan 3"" / ""Super Saiyan 3?!""",September 26 2002,"2,464,000",21,N/A
Babidi and Majin Buu,"""Bye Bye Babidi!! Majin Boo Rebels"" / ""Buu's Mutiny""",September 30 2002,"2,178,000",36,N/A
Babidi and Majin Buu,"""Absurdly Awful-Looking!? The Special Training Transformation Pose"" / ""The Fusion Dance",October 1 2002,N/A,N/A,N/A
Babidi and Majin Buu,"""See You Later, Everybody!! Goku Returns to the Other World"" / ""Goku's Time is Up""",October 2 2002,N/A,N/A,N/A
Babidi and Majin Buu,"""Where is Gohan!? Ferocious Training in the Kaioshin Realm"" / ""Return to Other World""",October 3 2002,N/A,N/A,N/A
Babidi and Majin Buu,"""You're Kidding, Right!? The Z-Sword is Broken"" / ""Out From the Broken Sword""",October 7 2002,N/A,N/A,N/A
Babidi and Majin Buu,"""Birth of a Superhuman Warrior!! His Name is Gotenks"" / ""Gotenks is Born""",October 8 2002,"2,335,000",26,N/A
Babidi and Majin Buu,"""The Final Weapon is Engaged!? Satan Will Save the Earth"" / ""Unlikely Friendship""",October 9 2002,"2,252,000",32,N/A
Babidi and Majin Buu,"""I've Stopped Killing!! Majin Boo's Good Boy Declaration"" / ""I Kill No More""",October 10 2002,"2,344,000",25,N/A
