Sega,Episode Titles,English air date,Household,Rank,Viewership
Frieza Saga ,"""Thou Who Hast Gathered the Seven Balls... Now Speak Forth the Password!""",21-Sep-99,"1,473,000",25,N/A
Frieza Saga ,"""Kami-sama Also Returns to Life! Piccolo is Resurrected by Super Shen Long"" ",22-Sep-99,N/A,N/A,N/A
Frieza Saga ,"""Birth of the Mightiest Warrior!? Nail and Piccolo Merge""
",23-Sep-99,N/A,N/A,N/A
Frieza Saga ,"""A Nightmare Super-Transformation!! Frieza's Battle Power of One Million""",24-Sep-99,N/A,N/A,N/A
Frieza Saga ,"""Is This the End!? A Brutally Transcendent Power Attacks Gohan""
",27-Sep-99,"1,633,000",22,N/A
Frieza Saga ,"""The Tide Suddenly Turned!! Piccolo, the Warrior Who Came Late"" / ""Piccolo the Super-Namek""
",27-Sep-99,N/A,N/A,N/A
Frieza Saga ,"""Piccolo's Self-Confidence! I Will Be the One to Defeat Freeza"" / ""Deja Vu""
",28-Sep-99,N/A,N/A,N/A
Frieza Saga ,"""Attack, Goku!! An Enraged Freeza's Second Transformation"" / ""Frieza's Second Transformation""
",29-Sep-99,N/A,N/A,N/A
Frieza Saga ,"""Fear Me!! Freeza Does Battle with a Third Transformation"" / ""Another Transformation?""
",30-Sep-99,"1,743,000",16,N/A
Frieza Saga ,"""The Death of Dende... Come Forth! Intense, Wide-Open Power"" / ""Dende's Demise""
",1-Oct-99,"1,609,000",22,N/A
Frieza Saga ,"""How I've Waited for this Moment!!! Son Goku Revived"" / ""The Renewed Goku""
",4-Oct-99,N/A,N/A,N/A
Frieza Saga ,"""Such Regret...!! Vegeta, Pride of the Saiyans, Dies"" / ""The End of Vegeta""
",5-Oct-99,N/A,N/A,N/A
Frieza Saga ,"""The Curtain Rises over the Ultimate Battle!! I Am Going to Defeat You!"" / ""The Ultimate Battle""
",6-Oct-99,N/A,N/A,N/A
Frieza Saga ,"""The Two Superpowers Collide! A Fistfight Where Both Turn Serious!!!"" ",7-Oct-99,N/A,N/A,N/A
Frieza Saga ,"""Freeza's Terrible Declaration! I Will Defeat You Without Using My Hands"" ",8-Oct-99,N/A,N/A,N/A
Frieza Saga ,"""That Was No Idle Boast!! Son Goku, an Audacious, Wonderful Guy"" ",11-Oct-99,N/A,N/A,N/A
Frieza Saga ,"""Showdown!! The Embodiment of Flame in a 20-Times Kaio-ken Kamehame-Ha""
",12-Oct-99,"1,608,000",21,N/A
Frieza Saga ,"""A Super-Huge Genki Dama — I'm Playing My Last Card!!""
",13-Oct-99,N/A,N/A,N/A
Frieza Saga ,"""Keep the Chance Alive!! Piccolo's Suicide Support Strike""
",14-Oct-99,N/A,N/A,N/A
Frieza Saga ,"""The Incredible Destructive Force of the Genki Dama!! Who Will Survive?!""",15-Oct-99,"1,633,000",#21,N/A
Frieza Saga ,"""Transformed At Last!! Son Goku, the Legendary Super Saiyan""
",18-Oct-99,N/A,N/A ,N/A
Frieza Saga ,"""An Explosion of Anger!! Goku, Avenge Everyone's Deaths""
",19-Oct-99,N/A,N/A ,N/A
Frieza Saga ,"""The Destruction of Planet Namek!? A Demonic Flash Pierces the Ground"" 
",20-Oct-99,N/A,N/A ,N/A
Frieza Saga ,"""I Will Be the One Who Wins... Risking Survival, a Final Attack"" 
",21-Oct-99,N/A,N/A ,N/A
Frieza Saga ,"""Shen Long, Run Yourself Through Space!! The Time of Namek's Destruction Draws Near""",22-Oct-99,N/A,N/A ,N/A
Frieza Saga ,"""I Am Son Goku's Son!! Gohan Returns to the Battlefield""",25-Oct-99,N/A,N/A,N/A
Frieza Saga ,"""I'm Staying on This Planet!! A Final Wish Towards Victory""
",26-Oct-99,N/A,N/A,N/A
Frieza Saga ,"""Let's Get It On!! Two Remain on a Vanishing Planet""
",27-Oct-99,N/A,N/A,N/A
Frieza Saga ,"""Pathos of Freeza! Once He Starts Shaking, He's Unstoppable!!""
",28-Oct-99,N/A,N/A,N/A
Frieza Saga ,"""Goku's Declaration of Victory!! As Freeza Destroys Himself...""
",29-Oct-99,N/A,N/A,N/A
Frieza Saga ,"""Freeza Defeated!! A Single Blast Packed with a Totality of Rage""
",1-Nov-99,N/A,N/A,N/A
Frieza Saga ,"""Planet Namek's Great Explosion!! Goku Disappears into Space""
",2-Nov-99,N/A,N/A,N/A
Frieza Saga ,"""Son Goku Survived — The Z Warriors All Resurrected!!""
",3-Nov-99,N/A,N/A,N/A
